1 2.20679e-05
0.982527 0.00466368
0.963616 0.00968714
0.94315 0.0151239
0.921 0.0210078
0.897028 0.0273757
0.871084 0.0342674
0.843008 0.0417277
0.812523 0.0493922
0.779236 0.0564447
0.743153 0.0637935
0.704038 0.0714199
0.661606 0.0791357
0.615543 0.086662
0.565522 0.0936737
0.511197 0.0997295
0.452213 0.104205
0.390442 0.106174
0.332468 0.105113
0.282343 0.101774
0.239087 0.0969453
0.201797 0.0913435
0.16969 0.0853096
0.142081 0.0790821
0.11837 0.072839
0.098037 0.0666956
0.080634 0.0607182
0.0657711 0.054957
0.0531136 0.0494374
0.0423675 0.0441832
0.0332818 0.0392014
0.0256438 0.0344874
0.0192749 0.0300283
0.0140177 0.0258194
0.0089777 0.0210753
0.00445684 0.0157878
0.00113093 0.00970887
-2.19197e-10 0.00288005
0.00170654 -0.00381446
0.00597338 -0.00926441
0.0114951 -0.0134933
0.0174394 -0.0170079
0.0233758 -0.0198659
0.0304237 -0.0227266
0.0387233 -0.025595
0.0484406 -0.0284833
0.0597741 -0.0314007
0.0729595 -0.0343436
0.0882731 -0.0372948
0.106035 -0.0402323
0.126613 -0.0431272
0.150436 -0.0459394
0.177998 -0.0485951
0.209871 -0.0509773
0.246711 -0.0529367
0.289274 -0.0542581
0.338424 -0.0543965
0.395132 -0.052832
0.455493 -0.0492645
0.513162 -0.0443942
0.566363 -0.0389528
0.615462 -0.0333589
0.660796 -0.0278906
0.702675 -0.0227479
0.741386 -0.0181152
0.777187 -0.0140996
0.810295 -0.0106379
0.840983 -0.00863607
0.869363 -0.0070977
0.895586 -0.00567386
0.919816 -0.00435825
0.942204 -0.00314264
0.962891 -0.00201942
0.982005 -0.000981581
0.999666 -2.26308e-05
